epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.4128,2.43136,6.39901,3.48671,2.05011,0.05167,0.20805,0.03152,0.01278,0.025,0.10067,0.0141,0.00511,2.5948,5.49743,3.24005,1.80154,6e-05,6e-05,6e-05
2,4.96149,2.59654,5.77902,3.5504,2.08623,0.045,0.18121,0.02802,0.01223,0.02833,0.11409,0.01642,0.00481,2.6074,5.32788,3.2423,1.76909,0.00013538,0.00013538,0.00013538
3,7.08496,2.36344,5.87261,3.43555,1.95862,0.05,0.20134,0.03273,0.01286,0.02667,0.10738,0.01496,0.00396,2.54568,5.21485,3.23652,1.74939,0.00020548,0.00020548,0.00020548
4,9.23499,2.56922,4.85963,3.47378,2.20427,0.05,0.20134,0.03273,0.01286,0.02667,0.10738,0.01496,0.00396,2.54568,5.21485,3.23652,1.74939,0.0002703,0.0002703,0.0002703
5,11.4949,2.60495,4.60855,3.46491,2.07269,0.06167,0.24832,0.04332,0.01632,0.01667,0.06711,0.00928,0.00256,2.49659,5.4027,3.2311,1.77011,0.00032984,0.00032984,0.00032984
6,13.5277,2.27014,5.11078,3.36982,1.95186,0.06167,0.24832,0.04332,0.01632,0.01667,0.06711,0.00928,0.00256,2.49659,5.4027,3.2311,1.77011,0.0003841,0.0003841,0.0003841
7,15.6767,2.43133,5.04769,3.40504,1.96743,0.075,0.30201,0.05207,0.02176,0.00167,0.00671,0.00099,0.00064,2.39742,5.61361,3.25755,1.78102,0.00043308,0.00043308,0.00043308
8,17.872,2.37362,4.87736,3.35175,1.93814,0.075,0.30201,0.05207,0.02176,0.00167,0.00671,0.00099,0.00064,2.39742,5.61361,3.25755,1.78102,0.00047678,0.00047678,0.00047678
9,20.1594,2.27612,4.90373,3.3319,1.86101,0.075,0.30201,0.05207,0.02176,0.00167,0.00671,0.00099,0.00064,2.39742,5.61361,3.25755,1.78102,0.0005152,0.0005152,0.0005152
10,22.3997,2.31837,4.71926,3.26892,1.85965,0.06667,0.26846,0.0469,0.01902,0.00167,0.00671,0.00085,0.00051,2.3919,5.31275,3.2662,1.84531,0.00054834,0.00054834,0.00054834
11,24.5562,2.32058,4.67443,3.29564,1.85378,0.06667,0.26846,0.0469,0.01902,0.00167,0.00671,0.00085,0.00051,2.3919,5.31275,3.2662,1.84531,0.0005762,0.0005762,0.0005762
12,26.6737,2.41088,4.42164,3.26634,1.87994,0.06667,0.26846,0.0469,0.01902,0.00167,0.00671,0.00085,0.00051,2.3919,5.31275,3.2662,1.84531,0.00059878,0.00059878,0.00059878
13,29.0304,2.31719,4.78409,3.24774,1.86664,0.06667,0.26846,0.0469,0.01902,0.00167,0.00671,0.00085,0.00051,2.3919,5.31275,3.2662,1.84531,0.00061608,0.00061608,0.00061608
14,31.5988,2.24677,4.01603,3.17262,1.88655,0.07,0.28188,0.0495,0.01862,0.00333,0.01342,0.0017,0.00051,2.33001,4.94651,3.20654,1.84137,0.0006281,0.0006281,0.0006281
15,34.1142,2.29273,4.51325,3.14019,1.84805,0.07,0.28188,0.0495,0.01862,0.00333,0.01342,0.0017,0.00051,2.33001,4.94651,3.20654,1.84137,0.00063484,0.00063484,0.00063484
