epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,143.595,2.3796,4.59012,2.96138,1.85843,0.08912,0.24751,0.07187,0.0264,0.00207,0.00741,0.00104,0.00027,2.34333,4.68996,2.55643,1.73207,0.000655367,0.000655367,0.000655367
2,287.243,2.24326,4.1714,2.35106,1.66702,0.11036,0.23296,0.07518,0.03143,0.00721,0.02586,0.0037,0.00101,2.27066,4.42108,2.40933,1.74489,0.00131767,0.00131767,0.00131767
3,430.044,2.19026,4.17579,2.13766,1.65194,0.10674,0.23825,0.07768,0.03313,0.00871,0.03126,0.00479,0.00139,2.23421,4.50076,2.3588,1.7064,0.00197558,0.00197558,0.00197558
4,572.823,2.13354,4.11892,2.01131,1.64072,0.11057,0.27169,0.08406,0.03541,0.01723,0.06184,0.00967,0.00303,2.19411,4.35986,2.16232,1.74014,0.0019802,0.0019802,0.0019802
5,711.365,2.07157,4.10587,1.94157,1.64552,0.11642,0.22708,0.0892,0.04138,0.02296,0.03698,0.00872,0.00276,2.13712,4.34032,2.37992,1.71411,0.0019736,0.0019736,0.0019736
6,848.961,2.04053,4.07256,1.90364,1.63987,0.15182,0.25274,0.1106,0.04651,0.02209,0.07928,0.0121,0.00411,2.12653,4.22817,2.04736,1.74477,0.001967,0.001967,0.001967
7,995.486,2.02561,4.06279,1.89402,1.65415,0.11014,0.3524,0.11011,0.04831,0.0104,0.03732,0.00555,0.0018,2.07313,4.21563,1.97263,1.71539,0.0019604,0.0019604,0.0019604
8,1131.94,1.99574,4.03952,1.84273,1.61589,0.1614,0.24482,0.11869,0.05253,0.01207,0.0433,0.0064,0.00193,2.05779,4.22069,1.96837,1.68535,0.0019538,0.0019538,0.0019538
9,1255.44,1.98708,4.01613,1.85843,1.63187,0.1527,0.25628,0.12011,0.0524,0.02191,0.07826,0.01255,0.00413,2.04428,4.16156,1.94648,1.75151,0.0019472,0.0019472,0.0019472
10,1383.34,1.99936,4.04644,1.85717,1.6429,0.14411,0.26428,0.11042,0.05154,0.0306,0.05611,0.01369,0.00443,2.01443,4.16812,1.99026,1.74423,0.0019406,0.0019406,0.0019406
11,1533.85,1.97213,3.99714,1.83325,1.62913,0.08109,0.25754,0.06883,0.03113,0.01503,0.05366,0.00864,0.00289,2.119,4.32331,2.34905,1.70507,0.001934,0.001934,0.001934
12,1673.35,1.94076,3.96852,1.81195,1.61518,0.13688,0.2235,0.10393,0.04894,0.00982,0.03488,0.00517,0.0015,2.02935,4.31259,2.0478,1.66716,0.0019274,0.0019274,0.0019274
